国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2011-09-02,2495.0
2011-09-05,2505.0
2011-09-06,2514.0
2011-09-07,2515.0
2011-09-08,2518.0
2011-09-09,2526.0
2011-09-13,2530.0
2011-09-14,2559.0
2011-09-15,2562.0
2011-09-16,2566.0
2011-09-19,2590.0
2011-09-20,2596.0
2011-09-21,2597.0
2011-09-22,2595.0
2011-09-23,2596.0
2011-09-26,2581.0
2011-09-27,2581.0
2011-09-28,2576.0
2011-09-29,2572.0
2011-09-30,2573.0
2011-10-08,2553.0
2011-10-09,2545.0
2011-10-10,2540.0
2011-10-11,2536.0
2011-10-12,2531.0
2011-10-13,2524.0
2011-10-17,2511.0
2011-10-18,2502.0
2011-10-19,2494.0
2011-10-20,2494.0
2011-10-21,2492.0
2011-10-24,2484.0
2011-10-25,2475.0
2011-10-26,2475.0
2011-10-27,2470.0
2011-10-28,2470.0
2011-10-31,2462.0
2011-11-01,2456.0
2011-11-02,2448.0
2011-11-03,2440.0
2011-11-04,2426.0
2011-11-08,2408.0
2011-11-09,2398.0
2011-11-10,2396.0
2011-11-11,2386.0
2011-11-14,2380.0
2011-11-15,2378.0
2011-11-16,2370.0
2011-11-17,2370.0
2011-11-18,2368.0
2011-11-21,2363.0
2011-11-22,2357.0
2011-11-23,2355.0
2011-11-24,2355.0
2011-11-25,2352.0
2011-11-28,2349.0
2011-11-29,2350.0
2011-11-30,2345.0
2011-12-01,2345.0
2011-12-02,2344.0
2011-12-05,2344.0
2011-12-06,2342.0
2011-12-07,2343.0
2011-12-08,2344.0
2011-12-09,2347.0
2011-12-13,2359.0
2011-12-14,2363.0
2011-12-15,2368.0
2011-12-16,2370.0
2011-12-19,2367.0
2011-12-20,2367.0
2011-12-21,2367.0
2011-12-22,2366.0
2011-12-23,2369.0
2011-12-26,2371.0
2011-12-27,2370.0
2011-12-28,2373.0
2011-12-29,2376.0
2011-12-30,2378.0
2011-12-31,2379.0
2012-01-04,2379.0
2012-01-05,2379.0
2012-01-06,2381.0
2012-01-09,2384.0
2012-01-10,2390.0
2012-01-11,2392.0
2012-01-12,2395.0
2012-01-13,2397.0
2012-01-16,2398.0
2012-01-17,2398.0
2012-01-18,2400.0
2012-01-19,2400.0
2012-01-20,2400.0
2012-01-21,2400.0
2012-01-29,2400.0
2012-01-30,2403.0
2012-01-31,2400.0
2012-02-01,2402.0
2012-02-02,2403.0
2012-02-03,2407.0
2012-02-06,2412.0
2012-02-07,2412.0
2012-02-08,2414.0
2012-02-09,2420.0
2012-02-10,2420.0
2012-02-13,2422.0
2012-02-14,2422.0
2012-02-15,2424.0
2012-02-16,2426.0
2012-02-17,2429.0
2012-02-20,2428.18
2012-02-21,2428.18
2012-02-22,2429.55
2012-02-23,2431.36
2012-02-24,2430.91
2012-02-27,2433.64
2012-02-28,2436.36
2012-02-29,2440.0
2012-03-01,2440.0
2012-03-02,2445.45
2012-03-05,2448.18
2012-03-06,2450.23
2012-03-07,2454.55
2012-03-08,2455.91
2012-03-09,2455.91
2012-03-12,2455.91
2012-03-13,2456.82
2012-03-14,2462.27
2012-03-15,2467.05
2012-03-16,2469.32
2012-03-19,2475.91
2012-03-20,2476.82
2012-03-21,2477.73
2012-03-22,2478.64
2012-03-23,2479.55
2012-03-26,2480.0
2012-03-27,2484.09
2012-03-28,2488.64
2012-03-29,2492.73
2012-03-30,2490.91
2012-03-31,2493.64
2012-04-01,2493.64
2012-04-05,2494.55
2012-04-06,2496.82
2012-04-09,2497.27
2012-04-10,2498.18
2012-04-11,2500.45
2012-04-12,2500.45
2012-04-13,2501.82
2012-04-16,2495.0
2012-04-17,2489.77
2012-04-18,2490.68
2012-04-19,2490.68
2012-04-20,2490.68
2012-04-23,2490.0
2012-04-24,2491.36
2012-04-25,2491.36
2012-04-26,2490.0
2012-04-27,2490.45
2012-04-28,2490.45
2012-05-02,2496.36
2012-05-03,2497.27
2012-05-04,2497.95
2012-05-07,2497.95
2012-05-08,2499.09
2012-05-09,2500.23
2012-05-10,2500.23
2012-05-11,2500.23
2012-05-14,2500.23
2012-05-15,2500.23
2012-05-16,2496.36
2012-05-17,2492.73
2012-05-18,2492.73
2012-05-21,2493.18
2012-05-22,2494.55
2012-05-23,2493.18
2012-05-24,2492.27
2012-05-25,2492.27
2012-05-28,2491.14
2012-05-29,2489.55
2012-05-30,2491.36
2012-05-31,2490.45
2012-06-01,2489.55
2012-06-04,2489.55
2012-06-05,2488.64
2012-06-06,2487.27
2012-06-07,2487.73
2012-06-08,2487.73
2012-06-11,2487.5
2012-06-12,2490.68
2012-06-13,2493.41
2012-06-14,2494.55
2012-06-15,2494.09
2012-06-18,2496.14
2012-06-19,2496.14
2012-06-20,2496.59
2012-06-21,2497.5
2012-06-25,2503.64
2012-06-26,2502.73
2012-06-27,2504.09
2012-06-28,2504.32
2012-06-29,2508.41
2012-07-02,2508.18
2012-07-03,2509.09
2012-07-04,2510.45
2012-07-05,2509.55
2012-07-06,2510.45
2012-07-09,2510.45
2012-07-10,2511.82
2012-07-11,2512.27
2012-07-12,2512.27
2012-07-13,2512.95
2012-07-16,2514.55
2012-07-17,2516.36
2012-07-18,2515.91
2012-07-19,2521.59
2012-07-20,2524.09
2012-07-23,2526.82
2012-07-24,2527.73
2012-07-25,2528.64
2012-07-26,2532.73
2012-07-27,2534.09
2012-07-30,2538.18
2012-07-31,2540.91
2012-08-01,2542.27
2012-08-02,2546.82
2012-08-03,2549.55
2012-08-06,2550.0
2012-08-07,2550.45
2012-08-08,2552.73
2012-08-09,2552.73
2012-08-13,2555.45
2012-08-14,2560.0
2012-08-15,2561.82
2012-08-16,2564.09
2012-08-17,2564.55
2012-08-20,2567.27
2012-08-21,2566.36
2012-08-22,2567.5
2012-08-23,2567.5
2012-08-24,2567.95
2012-08-27,2569.32
2012-08-28,2567.05
2012-08-29,2568.86
2012-08-30,2569.09
2012-08-31,2569.09
2012-09-03,2568.64
2012-09-04,2566.36
2012-09-05,2564.09
2012-09-06,2563.64
2012-09-07,2558.41
2012-09-10,2557.27
2012-09-11,2556.36
2012-09-12,2555.91
2012-09-13,2555.45
2012-09-14,2554.09
